source,topic,Review
"“More contraception availability increases abortion demand.""",Abortion,FALSE
A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life,Abortion,FALSE
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,Abortion,FALSE
A California ballot measure would 'extend abortions up to 9 months',Abortion,FALSE
Aborted fetal cells are in artificial flavors added to food products people eat.,Abortion,FALSE
"Abortion cause permanent psychological and mental damage, including ‘post-abortion syndrome’.",Abortion,FALSE
Abortion causes breast cancer.,Abortion,FALSE
Abortions can be induced using pills.,Abortion,TRUE
Abortions can save the life of a pregnant woman in certain medical emergencies.,Abortion,TRUE
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Abortion,FALSE
Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Abortion,TRUE
"In the US, over 90% of abortions occur in the first trimester of pregnancy (at or before 16 weeks of gestation)",Abortion,TRUE
U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.,Abortion,FALSE
Minors can receive abortions without parental consent in Minnesota.,Abortion,TRUE
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',Abortion,FALSE
Progesterone can be used for abortion reversal after taking mifepristone,Abortion,FALSE
The Department of Defense pays for troops' abortions,Abortion,TRUE
Walgreens sells abortion pills,Abortion,FALSE
You’ll never be able to have children if you have an abortion.,Abortion,FALSE
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Black Americans,FALSE
"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Black Americans,TRUE
44 Percent of Black People Do Have HIV,Black Americans,FALSE
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",Black Americans,TRUE
A Department of Justice study show Minneapolis police stopped Native and Black Americans at more than six times the rate of others.,Black Americans,TRUE
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,Black Americans,FALSE
February was chosen as Black History month because it’s the shortest month,Black Americans,FALSE
New Florida standards will teach students Blacks benefited from slavery,Black Americans,TRUE
Obama changed Black Music Month to Pride Month,Black Americans,FALSE
The first paramedics in the United States were Black men.,Black Americans,TRUE
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",Black Americans,TRUE
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",Black Americans,FALSE
"""The Tonight Show"" has been hosted by six different hosts over its nearly 70-year history.",Entertainment,TRUE
"Kelly Clarkson, the first American Idol winner, is the ninth best-selling music artist of all time.",Entertainment,FALSE
The character of James Bond has been portrayed by seven different actors over the course of the film franchise's 60-year history.,Entertainment,TRUE
The first-ever MTV Video Music Awards ceremony was held in 1984.,Entertainment,TRUE
"The iconic red leather jacket worn by Michael Jackson in his ""Thriller"" music video sold at auction for $110 million.",Entertainment,FALSE
"A New Island Discovered in Lake Michigan is Inhabited by a Futuristic Race of Superhumans, Possessing Technology Thousands of Years Ahead of Our Time",Gold_False,FALSE
All diseases can be spread through radio waves.,Gold_False,FALSE
An island recently discovered in Lake Michigan is inhabited by humans from the future.,Gold_False,FALSE
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Gold_False,FALSE
Mixing water and sand in a blender creates a new type of energy that can power a small town for a week.,Gold_False,FALSE
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",Gold_False,FALSE
Joe Biden has four eyes on the top of his head.,Gold_False,FALSE
Scientists have discovered a new planet that is entirely made of chocolate.,Gold_False,FALSE
The Great Wall of China was built entirely by one person,Gold_False,FALSE
The world's tallest tree forms a bridge from Earth to Mars.,Gold_False,FALSE
Wizards have illegally manipulated the weather to cause devastating storms.,Gold_False,FALSE
A bicycle has two wheels.,Gold_True,TRUE
A circle is round.,Gold_True,TRUE
A day contains 24 hours.,Gold_True,TRUE
A week contains seven days.,Gold_True,TRUE
An almond is a type of nut.,Gold_True,TRUE
An hour contains 60 minutes.,Gold_True,TRUE
Apples are a type of fruit.,Gold_True,TRUE
Beef comes from cows.,Gold_True,TRUE
Diamonds are very expensive.,Gold_True,TRUE
Ice melts when heated.,Gold_True,TRUE
Las Vegas is located in the state of Nevada.,Gold_True,TRUE
Paris is located in France.,Gold_True,TRUE
People require oxygen to survive.,Gold_True,TRUE
The moon orbits around the Earth.,Gold_True,TRUE
Water is a liquid at room temperature.,Gold_True,TRUE
"""4.2 million illegal aliens have crossed since Joe Biden became president""",Illegal Immigration,FALSE
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",Illegal Immigration,FALSE
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",Illegal Immigration,FALSE
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,Illegal Immigration,FALSE
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Illegal Immigration,FALSE
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,Illegal Immigration,FALSE
Illegal Immigrants Can Be Police Officers In California,Illegal Immigration,FALSE
Illegal immigrants receive welfare benefits.,Illegal Immigration,FALSE
Officials are giving Social Security numbers to immigrants at the US border,Illegal Immigration,FALSE
Some undocumented immigrant workers pay taxes.,Illegal Immigration,TRUE
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,Illegal Immigration,FALSE
"Under the Biden administration's 'parole' program, illegal immigration from eligible countries has decreased by more than 90%.",Illegal Immigration,TRUE
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",LGBTQ,TRUE
A Gallup poll find that nearly one in five members of Gen Z identify as LGBT.,LGBTQ,TRUE
California is sending money to all LGBTQ residents.,LGBTQ,FALSE
Canada has passed a law that “made it illegal to protest against” the LGBTQ+ community.,LGBTQ,FALSE
Harvard is teaching medical students to treat transgender infants,LGBTQ,FALSE
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",LGBTQ,FALSE
"In the U.S., “a person can be married in the morning and thrown out of a restaurant for being gay in the afternoon.”",LGBTQ,TRUE
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,LGBTQ,TRUE
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,LGBTQ,FALSE
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,LGBTQ,FALSE
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",LGBTQ,FALSE
US Congresswoman Katie Porter said pedophilia is a sexual identity,LGBTQ,FALSE
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",Sports,FALSE
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,Sports,FALSE
"Professional athletes in the NFL, NBA, and MLB are taxed at a higher rate than athletes in other countries due to the United States' progressive tax system.",Sports,TRUE
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,Sports,FALSE
The longest recorded field goal was made from a distance of 64 yards.,Sports,TRUE
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",USA,FALSE
"“No administration has ever looked less like America, just by the numbers, than the Biden administration.”",USA,FALSE
“U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,USA,FALSE
10% of the US Population lives in the Ohio River Basin region.,USA,TRUE
A 'massive death plume' is raining down hydrochloric acid in Ohio,USA,FALSE
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,USA,FALSE
Biden asked China for permission to shoot down spy balloon,USA,FALSE
Biden said sending tanks to Ukraine would be the start of World War III,USA,FALSE
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,USA,FALSE
"Chicago, IL had just over 9000 murders in 2022, the most of any city in America.",USA,FALSE
Chiefs’ Super Bowl win threatened because Mahomes failed drug test,USA,FALSE
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",USA,TRUE
Earth's inner core is responsible for recent climate change trends,USA,FALSE
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,USA,FALSE
"In the early 1940s, Hispanic homesteaders in Los Alamos, New Mexico, were forced off their land by the U.S. government and offered little to no compensation to make way for the Manhattan Project, a weapons laboratory led by J. Robert Oppenheimer.",USA,TRUE
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",USA,FALSE
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",USA,FALSE
Reporters trying to get in are being arrested' after Ohio derailment,USA,FALSE
"The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",USA,FALSE
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",USA,FALSE
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,USA,FALSE
U.S. President Donald Trump kissed California Gov. Gavin Newsom on the lips.,USA,FALSE
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",USA,FALSE
"US President Joe Biden said: ""Capitalism is exploitation""",USA,FALSE
"“The No. 1 weather-related killer is heat. 600 people die annually from its effects, more than from floods, hurricanes and tornadoes in America combined.”",WeatherClimate,TRUE
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",WeatherClimate,TRUE
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",WeatherClimate,FALSE
"The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",WeatherClimate,TRUE
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,WeatherClimate,TRUE
Cutting current CO2 emissions will cause death of plants and animals,WeatherClimate,FALSE
The August 2023 wildfires in Hawaii were caused by directed energy weapons,USA,FALSE
Kyiv unveiled new water sprinklers after receiving US aid,USA,FALSE
Rubbing lime on painful teeth relieves toothache quickly,HealthScience,FALSE
Skin cancer emerged in the past 60 years,HealthScience,FALSE
Research shows infant vaccines are linked to high mortality rates,HealthScience,FALSE
Ukraine President Volodymyr Zelensky welcoming robot warriors in Ukraine,USA,FALSE
"Jason Aldean debuts new song ""Go Woke, Go Broke""",Entertainment,FALSE
"Trump ""threatened"" with death penalty related to January 6 charges",USA,FALSE
Ingesting Borax has health benefits,HealthScience,FALSE
Scientists are exaggerating dangers of carbon dioxide increase,WeatherClimate,FALSE
Gates Foundation vaccination campaign in Vietnam increased autism cases,HealthScience,FALSE
"Witches performed a demonic ritual hours before Montgomery, Alabama brawl",USA,FALSE
Ghislaine Maxwell’s father owns McGraw Hill textbooks,USA,FALSE
Illinois law allows immigrants living in US illegally to become cops,Illegal Immigration,FALSE
The Supreme Court ruled that vaccinated people worldwide are no longer humans,USA,FALSE
"OceanGate announced plans to send 1,000 people to Venus by 2050",HealthScience,FALSE
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,HealthScience,FALSE
A Michigan bill would make using a person’s wrong gender pronouns a felony,LGBTQ,FALSE
Pope says disabled people should be euthanized for climate change,USA,FALSE
Paramount said it may cut CMT because the channel ‘lost their audience’,Entertainment,FALSE
The US government announced there are aliens,USA,FALSE
Police report shows “massive 2020 voter fraud uncovered in Michigan.”,USA,FALSE
Florida has “eliminated critical race theory in our K through 12 schools.”,USA,FALSE
"""Atlanta violence: Nearly 60% more murders so far this year.""",USA,FALSE
“They are trying to make it illegal to question the results of a bad election.”,USA,FALSE
The Trump administration “built nearly 500 miles of border wall.”,Illegal Immigration,TRUE
“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,HealthScience,FALSE
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,USA,FALSE
"In August 2023, Disney World began requiring guests to wear pronoun pins",LGBTQ,FALSE
"Author Stephen King's book sales dropped by 70% after ""he went woke.""",USA,FALSE
"Bill Gates’ Twitter account posted, “The tracking chip was in the MAGA flags. That’s [sic] how we have been rounding up the 6th Protesters so quickly.”",USA,FALSE
The Florida state Department of Education approved content that denies or minimizes the reality of anthropogenic climate change and compares climate science to Nazism as an optional supplement to the state's social studies curriculum.,WeatherClimate,TRUE
"""The Princess and the Frog"" is receiving a live-action remake.",Entertainment,FALSE
"An image that went viral in August 2023 genuinely depicted a ""question mark"" formation in space.",HealthScience,TRUE
"In the 1790s, piracy of a ship carrying metric standards intended for then-U.S. Secretary of State Thomas Jefferson played a role in America's decision to not adopt the metric system.",USA,FALSE
"Ben & Jerry's developed its signature chunky style because the company's Co-founder Ben Cohen has limited smell and taste, and big ingredients help him experience different ice cream flavors.",USA,TRUE
"Fabian Marta, one of more than 6,600 ""Angel investors"" for the film ""Sound of Freedom,"" was arrested on suspicion of the class A felony accessory to child kidnapping shortly after the film's release.",Entertainment,TRUE
U.S. District Court Judge Tanya Chutkan worked at a law firm that also employed Hunter Biden and performed work for the Ukrainian oil company Burisma.,USA,TRUE
"Scientists discovered a ""turtle octopus hybrid"" in 2023.",HealthScience,FALSE